aX,aY,aZ,gX,gY,gZ
0.779,-0.792,-0.423,-3.418,-32.288,22.339
0.812,-0.724,-0.383,-5.920,-32.959,27.405
0.832,-0.663,-0.342,-9.460,-33.691,30.823
0.848,-0.612,-0.307,-12.207,-33.020,32.715
0.867,-0.551,-0.282,-13.611,-31.555,33.447
0.882,-0.498,-0.263,-12.512,-29.785,33.447
0.906,-0.459,-0.240,-9.216,-28.687,32.654
0.923,-0.425,-0.205,-4.822,-27.954,31.311
0.920,-0.420,-0.169,-0.244,-27.161,29.480
0.918,-0.416,-0.142,2.136,-25.513,27.222
0.924,-0.398,-0.128,1.770,-22.644,24.597
0.922,-0.385,-0.117,0.732,-19.470,22.095
0.923,-0.380,-0.110,0.122,-15.686,19.470
0.923,-0.387,-0.112,-0.427,-11.475,17.456
0.919,-0.388,-0.118,-0.977,-7.202,16.418
0.928,-0.380,-0.125,-1.404,-3.723,15.686
0.926,-0.383,-0.131,-1.587,-1.221,14.954
0.920,-0.385,-0.138,-2.014,0.488,13.550
0.915,-0.379,-0.145,-1.831,1.526,11.902
0.908,-0.375,-0.155,-1.465,2.380,10.071
0.897,-0.377,-0.165,-0.427,3.113,8.728
0.885,-0.389,-0.171,1.465,3.601,7.690
0.877,-0.419,-0.181,3.052,4.333,7.263
0.890,-0.426,-0.191,3.052,5.005,7.629
0.888,-0.423,-0.195,2.014,4.700,8.667
0.880,-0.424,-0.196,1.221,4.089,9.827
0.866,-0.431,-0.201,-0.061,3.540,10.803
0.866,-0.408,-0.204,-1.892,3.418,11.719
0.873,-0.389,-0.203,-3.479,3.235,12.390
0.867,-0.377,-0.203,-4.578,2.686,12.695
0.865,-0.371,-0.208,-4.822,2.380,12.329
0.867,-0.360,-0.218,-4.944,2.136,11.353
0.867,-0.351,-0.224,-3.723,1.648,10.071
0.867,-0.357,-0.226,-2.197,0.916,8.667
0.868,-0.379,-0.224,-0.610,0.183,7.446
0.872,-0.391,-0.219,0.244,-0.488,6.958
0.870,-0.397,-0.218,-0.061,-0.732,7.019
0.867,-0.404,-0.221,-1.160,-1.099,7.324
