aX,aY,aZ,gX,gY,gZ
-0.404,-0.040,0.588,7.935,56.213,65.063
-0.250,-0.144,0.594,9.460,59.387,61.584
-0.103,-0.217,0.595,0.061,63.782,55.664
0.025,-0.219,0.594,-17.944,68.359,52.979
0.168,-0.118,0.602,-37.292,71.045,51.086
0.354,0.030,0.631,-50.049,70.374,44.800
0.558,0.138,0.670,-53.650,64.209,35.950
0.803,0.164,0.685,-50.110,51.941,25.879
0.984,0.208,0.687,-44.189,36.194,16.113
1.070,0.287,0.727,-35.339,20.569,6.653
1.143,0.350,0.779,-22.156,6.958,2.258
1.161,0.376,0.811,-5.920,-1.648,1.099
1.105,0.311,0.840,11.047,-5.615,-0.305
1.053,0.186,0.872,25.208,-5.127,-3.418
1.054,0.051,0.909,32.532,-1.770,-9.033
1.035,-0.046,0.949,31.250,0.732,-15.686
0.999,-0.079,0.990,24.658,1.770,-21.729
0.945,-0.081,1.032,17.090,1.831,-27.710
0.913,-0.082,1.064,12.024,2.319,-36.011
0.857,-0.118,1.090,9.460,2.930,-41.443
0.766,-0.180,1.118,7.568,4.456,-43.091
0.692,-0.227,1.133,5.310,6.226,-43.518
0.597,-0.257,1.132,3.418,9.033,-42.908
0.521,-0.278,1.126,3.052,13.611,-40.405
0.460,-0.311,1.117,4.211,19.531,-36.560
0.407,-0.327,1.102,5.188,26.611,-32.288
0.379,-0.347,1.090,5.493,33.752,-27.954
0.366,-0.375,1.082,4.578,39.795,-25.208
0.352,-0.384,1.072,1.587,44.434,-24.353
0.379,-0.456,1.052,-3.418,48.462,-21.606
0.387,-0.426,1.027,-11.230,50.110,-16.541
0.353,-0.325,1.011,-19.653,47.913,-10.681
0.327,-0.274,0.997,-25.024,43.640,-11.963
